original_text,normalized_word_text,dict_word,dict_lang,fuzzy_word,fuzzy_lang,fuzzy_confidence,checked_text,checked_lang,lemmatized_text,polarity_score,polarity_label,status,error_message
good,good,good,English,,,0.0,good,English,good,0.7,positive,ok,
Asante,asante,,Unknown,basanite,English,85.71428571428572,basanite,English,basanite,0.0,neutral,ok,
like,like,like,English,,,0.0,like,English,like,0.0,neutral,ok,
back,back,back,English,,,0.0,back,English,back,0.0,neutral,ok,
I,i,I,English,,,0.0,I,English,i,0.0,neutral,ok,
like,like,like,English,,,0.0,like,English,like,0.0,neutral,ok,
waaa,waaa,,Unknown,waapa,English,88.88888888888889,waapa,English,waapa,0.0,neutral,ok,
banange,banange,,Unknown,bandage,English,85.71428571428572,bandage,English,bandage,0.0,neutral,ok,
like,like,like,English,,,0.0,like,English,like,0.0,neutral,ok,
bck,bck,,Unknown,beck,English,85.71428571428572,beck,English,beck,0.0,neutral,ok,
visit,visit,visit,English,,,0.0,visit,English,visit,0.0,neutral,ok,
shatta,shatta,,Unknown,shatan,English,83.33333333333334,shatan,English,shatan,0.0,neutral,ok,
visit,visit,visit,English,,,0.0,visit,English,visit,0.0,neutral,ok,
dear,dear,dear,English,,,0.0,dear,English,dear,0.0,neutral,ok,
looking,looking,looking,English,,,0.0,looking,English,looking,0.0,neutral,ok,
someone,someone,someone,English,,,0.0,someone,English,someone,0.0,neutral,ok,
pretend,pretend,pretend,English,,,0.0,pretend,English,pretend,0.0,neutral,ok,
mi,mi,mi,English,,,0.0,mi,English,mi,0.0,neutral,ok,
Collin,collin,Collin,English,,,0.0,Collin,English,collin,0.0,neutral,ok,
man,man,man,English,,,0.0,man,English,man,0.0,neutral,ok,
long,long,long,English,,,0.0,long,English,long,-0.05,neutral,ok,
time,time,time,English,,,0.0,time,English,time,0.0,neutral,ok,
dear,dear,dear,English,,,0.0,dear,English,dear,0.0,neutral,ok,
Hw,hw,,Unknown,hew,English,80.0,hew,English,hew,0.0,neutral,ok,
much,much,much,English,,,0.0,much,English,much,0.2,positive,ok,
yr,yr,yr,English,,,0.0,yr,English,yr,0.0,neutral,ok,
outfit,outfit,outfit,English,,,0.0,outfit,English,outfit,0.0,neutral,ok,
well,well,well,English,,,0.0,well,English,well,0.0,neutral,ok,
tried,tried,tried,English,,,0.0,tried,English,tried,0.0,neutral,ok,
perfect,perfect,perfect,English,,,0.0,perfect,English,perfect,1.0,positive,ok,
visit,visit,visit,English,,,0.0,visit,English,visit,0.0,neutral,ok,
visit,visit,visit,English,,,0.0,visit,English,visit,0.0,neutral,ok,
bro,bro,,Unknown,brog,English,85.71428571428572,brog,English,brog,0.0,neutral,ok,
visit,visit,visit,English,,,0.0,visit,English,visit,0.0,neutral,ok,
ko,ko,ko,English,,,0.0,ko,English,ko,0.0,neutral,ok,
ya,ya,ya,English,,,0.0,ya,English,ya,0.0,neutral,ok,
man,man,man,English,,,0.0,man,English,man,0.0,neutral,ok,
[Sticker],[sticker],,Unknown,sticker,English,87.5,sticker,English,sticker,0.0,neutral,ok,
bro,bro,,Unknown,brog,English,85.71428571428572,brog,English,brog,0.0,neutral,ok,
hau,hau,hau,English,,,0.0,hau,English,hau,0.0,neutral,ok,
much,much,much,English,,,0.0,much,English,much,0.2,positive,ok,
"trouser,","trouser,",,Unknown,trouser,English,93.33333333333333,trouser,English,trouser,0.0,neutral,ok,
real,real,real,English,,,0.0,real,English,real,0.2,positive,ok,
like,like,like,English,,,0.0,like,English,like,0.0,neutral,ok,
bakube,bakube,,Unknown,bauble,English,83.33333333333334,bauble,English,bauble,0.0,neutral,ok,
seeb,seeb,,Unknown,see,English,85.71428571428572,see,English,see,0.0,neutral,ok,
David,david,,Unknown,avid,English,88.88888888888889,avid,English,avid,0.25,positive,ok,
n,n,n,English,,,0.0,n,English,n,0.0,neutral,ok,
west,west,west,English,,,0.0,west,English,west,0.0,neutral,ok,
Dennis,dennis,,Unknown,tennis,English,83.33333333333334,tennis,English,tennis,0.0,neutral,ok,
also,also,also,English,,,0.0,also,English,also,0.0,neutral,ok,
valve,valve,valve,English,,,0.0,valve,English,valve,0.0,neutral,ok,
players,players,,Unknown,player,English,92.3076923076923,player,English,player,0.0,neutral,ok,
even,even,even,English,,,0.0,even,English,even,0.0,neutral,ok,
Brian,brian,,Unknown,burian,English,90.9090909090909,burian,English,burian,0.0,neutral,ok,
Masembe,masembe,,Unknown,megaseme,English,80.0,megaseme,English,megaseme,0.0,neutral,ok,
aka,aka,aka,English,,,0.0,aka,English,aka,0.0,neutral,ok,
awanyo,awanyo,,Unknown,wany,English,80.0,wany,English,wany,0.0,neutral,ok,
ended,ended,ended,English,,,0.0,ended,English,ended,0.0,neutral,ok,
lumala,lumala,,Unknown,glumal,English,83.33333333333334,glumal,English,glumal,0.0,neutral,ok,
national,national,national,English,,,0.0,national,English,national,0.0,neutral,ok,
team,team,team,English,,,0.0,team,English,team,0.0,neutral,ok,
pain,pain,pain,English,,,0.0,pain,English,pain,0.0,neutral,ok,
balanga,balanga,,Unknown,balangay,English,93.33333333333333,balangay,English,balangay,0.0,neutral,ok,
sport,sport,sport,English,,,0.0,sport,English,sport,0.0,neutral,ok,
betting,betting,betting,English,,,0.0,betting,English,betting,0.0,neutral,ok,
company,company,company,English,,,0.0,company,English,company,0.0,neutral,ok,
na,na,na,English,,,0.0,na,English,na,0.0,neutral,ok,
Louder,louder,,Unknown,lounder,English,92.3076923076923,lounder,English,lounder,0.0,neutral,ok,
senior,senior,senior,English,,,0.0,senior,English,senior,0.0,neutral,ok,
Career,career,Career,English,,,0.0,Career,English,career,0.0,neutral,ok,
football,football,football,English,,,0.0,football,English,football,0.0,neutral,ok,
life,life,life,English,,,0.0,life,English,life,0.0,neutral,ok,
"key,","key,",,Unknown,key,English,85.71428571428572,key,English,key,0.0,neutral,ok,
abo,abo,,Unknown,abox,English,85.71428571428572,abox,English,abox,0.0,neutral,ok,
basoma,basoma,,Unknown,blastoma,English,85.71428571428572,blastoma,English,blastoma,0.0,neutral,ok,
sports,sports,sports,English,,,0.0,sports,English,sport,0.0,neutral,ok,
journalism,journalism,journalism,English,,,0.0,journalism,English,journalism,0.0,neutral,ok,
Clive,clive,Clive,English,,,0.0,Clive,English,clive,0.0,neutral,ok,
Ismael,ismael,,Unknown,ismal,English,90.9090909090909,ismal,English,ismal,0.0,neutral,ok,
Allan,allan,Allan,English,,,0.0,Allan,English,allan,0.0,neutral,ok,
also,also,also,English,,,0.0,also,English,also,0.0,neutral,ok,
professional,professional,professional,English,,,0.0,professional,English,professional,0.1,neutral,ok,
fifi,fifi,,Unknown,Afifi,English,88.88888888888889,Afifi,English,afifi,0.0,neutral,ok,
nange,nange,,Unknown,nane,English,88.88888888888889,nane,English,nane,0.0,neutral,ok,
football,football,football,English,,,0.0,football,English,football,0.0,neutral,ok,
legends,legends,,Unknown,legend,English,92.3076923076923,legend,English,legend,0.0,neutral,ok,
time,time,time,English,,,0.0,time,English,time,0.0,neutral,ok,
TV,tv,,Unknown,tav,English,80.0,tav,English,tav,0.0,neutral,ok,
shows,shows,,Unknown,show,English,88.88888888888889,show,English,show,0.0,neutral,ok,
interests,interests,,Unknown,interest,English,94.11764705882352,interest,English,interest,0.0,neutral,ok,
even,even,even,English,,,0.0,even,English,even,0.0,neutral,ok,
@David,@david,,Unknown,avid,English,80.0,avid,English,avid,0.25,positive,ok,
one,one,one,English,,,0.0,one,English,one,0.0,neutral,ok,
best,best,best,English,,,0.0,best,English,best,1.0,positive,ok,
uganda,uganda,,Unknown,Luganda,English,92.3076923076923,Luganda,English,luganda,0.0,neutral,ok,
Pele,pele,,Unknown,peele,English,88.88888888888889,peele,English,peele,0.0,neutral,ok,
