original_text,normalized_word_text,dict_word,dict_lang,fuzzy_word,fuzzy_lang,fuzzy_confidence,checked_text,checked_lang,lemmatized_text,polarity_score,polarity_label,status,error_message
naye,naye,naye,Luganda,,,0.0,naye,Luganda,,0.0,,pending_gpu,
naye,naye,naye,Luganda,,,0.0,naye,Luganda,,0.0,,pending_gpu,
wano,wano,wano,Luganda,,,0.0,wano,Luganda,,0.0,,pending_gpu,
wange,wange,wange,Luganda,,,0.0,wange,Luganda,,0.0,,pending_gpu,
sambula,sambula,,Unknown,kasambula,Luganda,87.5,kasambula,Luganda,,0.0,,pending_gpu,
Mazima,mazima,,Unknown,amazima,Luganda,92.3076923076923,amazima,Luganda,,0.0,,pending_gpu,
jjaja,jjaja,,Unknown,jjajja,Luganda,90.9090909090909,jjajja,Luganda,,0.0,,pending_gpu,
ekitiibya,ekitiibya,,Unknown,ekitiibwa,Luganda,88.88888888888889,ekitiibwa,Luganda,,0.0,,pending_gpu,
Dhakaba,dhakaba,,Unknown,akaba,Luganda,83.33333333333334,akaba,Luganda,,0.0,,pending_gpu,
oyo,oyo,oyo,Luganda,,,0.0,oyo,Luganda,,0.0,,pending_gpu,
musiru,musiru,musiru,Luganda,,,0.0,musiru,Luganda,,0.0,,pending_gpu,
nyo,nyo,,Unknown,nnyo,Luganda,85.71428571428572,nnyo,Luganda,,0.0,,pending_gpu,
nga,nga,nga,Luganda,,,0.0,nga,Luganda,,0.0,,pending_gpu,
ku,ku,ku,Luganda,,,0.0,ku,Luganda,,0.0,,pending_gpu,
kapiira,kapiira,,Unknown,akapiira,Luganda,93.33333333333333,akapiira,Luganda,,0.0,,pending_gpu,
kutuuka,kutuuka,,Unknown,okutuuka,Luganda,93.33333333333333,okutuuka,Luganda,,0.0,,pending_gpu,
oba,oba,oba,Luganda,,,0.0,oba,Luganda,,0.0,,pending_gpu,
kumuluka,kumuluka,,Unknown,okululuka,Luganda,82.35294117647058,okululuka,Luganda,,0.0,,pending_gpu,
naye,naye,naye,Luganda,,,0.0,naye,Luganda,,0.0,,pending_gpu,
akategera,akategera,,Unknown,atategeera,Luganda,84.21052631578947,atategeera,Luganda,,0.0,,pending_gpu,
enyo,enyo,enyo,Luganda,,,0.0,enyo,Luganda,,0.0,,pending_gpu,
ogenda,ogenda,,Unknown,okugenda,Luganda,85.71428571428572,okugenda,Luganda,,0.0,,pending_gpu,
oli,oli,oli,Luganda,,,0.0,oli,Luganda,,0.0,,pending_gpu,
nga,nga,nga,Luganda,,,0.0,nga,Luganda,,0.0,,pending_gpu,
takubila,takubila,,Unknown,kubila,Luganda,85.71428571428572,kubila,Luganda,,0.0,,pending_gpu,
naye,naye,naye,Luganda,,,0.0,naye,Luganda,,0.0,,pending_gpu,
nga,nga,nga,Luganda,,,0.0,nga,Luganda,,0.0,,pending_gpu,
omussambi,omussambi,,Unknown,omuyambi,Luganda,82.35294117647058,omuyambi,Luganda,,0.0,,pending_gpu,
wano,wano,wano,Luganda,,,0.0,wano,Luganda,,0.0,,pending_gpu,
Oyo,oyo,Oyo,Luganda,,,0.0,Oyo,Luganda,,0.0,,pending_gpu,
nsaasira,nsaasira,,Unknown,ensaasi,Luganda,80.0,ensaasi,Luganda,,0.0,,pending_gpu,
abamuwuliliza,abamuwuliliza,,Unknown,abawuliriza,Luganda,83.33333333333334,abawuliriza,Luganda,,0.0,,pending_gpu,
omwo,omwo,,Unknown,omweso,Luganda,80.0,omweso,Luganda,,0.0,,pending_gpu,
nze,nze,nze,Luganda,,,0.0,nze,Luganda,,0.0,,pending_gpu,
awo,awo,awo,Luganda,,,0.0,awo,Luganda,,0.0,,pending_gpu,
ku,ku,ku,Luganda,,,0.0,ku,Luganda,,0.0,,pending_gpu,
mazima,mazima,,Unknown,amazima,Luganda,92.3076923076923,amazima,Luganda,,0.0,,pending_gpu,
Lwaki,lwaki,,Unknown,lwaaki,Luganda,90.9090909090909,lwaaki,Luganda,,0.0,,pending_gpu,
Nze,nze,Nze,Luganda,,,0.0,Nze,Luganda,,0.0,,pending_gpu,
nga,nga,nga,Luganda,,,0.0,nga,Luganda,,0.0,,pending_gpu,
Ssentamu,ssentamu,,Unknown,entamu,Luganda,85.71428571428572,entamu,Luganda,,0.0,,pending_gpu,
Ssemboga,ssemboga,,Unknown,emboga,Luganda,85.71428571428572,emboga,Luganda,,0.0,,pending_gpu,
Obulamu,obulamu,Obulamu,Luganda,,,0.0,Obulamu,Luganda,,0.0,,pending_gpu,
kiiro,kiiro,,Unknown,ekiro,Luganda,80.0,ekiro,Luganda,,0.0,,pending_gpu,
kisumuluzo,kisumuluzo,,Unknown,ekisumuluzo,Luganda,95.23809523809523,ekisumuluzo,Luganda,,0.0,,pending_gpu,
muko,muko,,Unknown,omuko,Luganda,88.88888888888889,omuko,Luganda,,0.0,,pending_gpu,
muko,muko,,Unknown,omuko,Luganda,88.88888888888889,omuko,Luganda,,0.0,,pending_gpu,
Taata,taata,Taata,Luganda,,,0.0,Taata,Luganda,,0.0,,pending_gpu,
webale,webale,webale,Luganda,,,0.0,webale,Luganda,,0.0,,pending_gpu,
taata,taata,taata,Luganda,,,0.0,taata,Luganda,,0.0,,pending_gpu,
tukwebaza,tukwebaza,,Unknown,okwebaza,Luganda,82.35294117647058,okwebaza,Luganda,,0.0,,pending_gpu,
okuba,okuba,okuba,Luganda,,,0.0,okuba,Luganda,,0.0,,pending_gpu,
manzima,manzima,,Unknown,amazima,Luganda,85.71428571428572,amazima,Luganda,,0.0,,pending_gpu,
mukama,mukama,mukama,Luganda,,,0.0,mukama,Luganda,,0.0,,pending_gpu,
kuuma,kuuma,kuuma,Luganda,,,0.0,kuuma,Luganda,,0.0,,pending_gpu,
taata,taata,taata,Luganda,,,0.0,taata,Luganda,,0.0,,pending_gpu,
mukama,mukama,mukama,Luganda,,,0.0,mukama,Luganda,,0.0,,pending_gpu,
kuuma,kuuma,kuuma,Luganda,,,0.0,kuuma,Luganda,,0.0,,pending_gpu,
taata,taata,taata,Luganda,,,0.0,taata,Luganda,,0.0,,pending_gpu,
wano,wano,wano,Luganda,,,0.0,wano,Luganda,,0.0,,pending_gpu,
wannge,wannge,,Unknown,wange,Luganda,90.9090909090909,wange,Luganda,,0.0,,pending_gpu,
ffe,ffe,ffe,Luganda,,,0.0,ffe,Luganda,,0.0,,pending_gpu,
nokuziimba,nokuziimba,,Unknown,okuzimba,Luganda,88.88888888888889,okuzimba,Luganda,,0.0,,pending_gpu,
okwekuba,okwekuba,,Unknown,okwewuba,Luganda,87.5,okwewuba,Luganda,,0.0,,pending_gpu,
engaloo,engaloo,,Unknown,engalo,Luganda,92.3076923076923,engalo,Luganda,,0.0,,pending_gpu,
nga,nga,nga,Luganda,,,0.0,nga,Luganda,,0.0,,pending_gpu,
:wano,:wano,,Unknown,wano,Luganda,88.88888888888889,wano,Luganda,,0.0,,pending_gpu,
wannge,wannge,,Unknown,wange,Luganda,90.9090909090909,wange,Luganda,,0.0,,pending_gpu,
mukama,mukama,mukama,Luganda,,,0.0,mukama,Luganda,,0.0,,pending_gpu,
buli,buli,buli,Luganda,,,0.0,buli,Luganda,,0.0,,pending_gpu,
yange,yange,,Unknown,gyange,Luganda,90.9090909090909,gyange,Luganda,,0.0,,pending_gpu,
Maama,maama,Maama,Luganda,,,0.0,Maama,Luganda,,0.0,,pending_gpu,
omuyimbi,omuyimbi,omuyimbi,Luganda,,,0.0,omuyimbi,Luganda,,0.0,,pending_gpu,
wange,wange,wange,Luganda,,,0.0,wange,Luganda,,0.0,,pending_gpu,
kapiripiti,kapiripiti,,Unknown,akabiriiti,Luganda,80.0,akabiriiti,Luganda,,0.0,,pending_gpu,
ku,ku,ku,Luganda,,,0.0,ku,Luganda,,0.0,,pending_gpu,
sente,sente,sente,Luganda,,,0.0,sente,Luganda,,0.0,,pending_gpu,
taata,taata,taata,Luganda,,,0.0,taata,Luganda,,0.0,,pending_gpu,
mazima,mazima,,Unknown,amazima,Luganda,92.3076923076923,amazima,Luganda,,0.0,,pending_gpu,
mwana,mwana,mwana,Luganda,,,0.0,mwana,Luganda,,0.0,,pending_gpu,
nkunonya,nkunonya,,Unknown,okunoonya,Luganda,82.35294117647058,okunoonya,Luganda,,0.0,,pending_gpu,
yange,yange,,Unknown,gyange,Luganda,90.9090909090909,gyange,Luganda,,0.0,,pending_gpu,
nkugwa,nkugwa,,Unknown,kugwa,Luganda,90.9090909090909,kugwa,Luganda,,0.0,,pending_gpu,
nze,nze,nze,Luganda,,,0.0,nze,Luganda,,0.0,,pending_gpu,
naye,naye,naye,Luganda,,,0.0,naye,Luganda,,0.0,,pending_gpu,
Kati,kati,Kati,Luganda,,,0.0,Kati,Luganda,,0.0,,pending_gpu,
Nkola,nkola,,Unknown,enkola,Luganda,90.9090909090909,enkola,Luganda,,0.0,,pending_gpu,
Ku,ku,Ku,Luganda,,,0.0,Ku,Luganda,,0.0,,pending_gpu,
mukimanyi,mukimanyi,,Unknown,omumanyi,Luganda,82.35294117647058,omumanyi,Luganda,,0.0,,pending_gpu,
nti,nti,nti,Luganda,,,0.0,nti,Luganda,,0.0,,pending_gpu,
kyangu,kyangu,kyangu,Luganda,,,0.0,kyangu,Luganda,,0.0,,pending_gpu,
nnyo,nnyo,nnyo,Luganda,,,0.0,nnyo,Luganda,,0.0,,pending_gpu,
okujako,okujako,,Unknown,okujyako,Luganda,93.33333333333333,okujyako,Luganda,,0.0,,pending_gpu,
naye,naye,naye,Luganda,,,0.0,naye,Luganda,,0.0,,pending_gpu,
kizibu,kizibu,,Unknown,ekizibu,Luganda,92.3076923076923,ekizibu,Luganda,,0.0,,pending_gpu,
nyo,nyo,,Unknown,nnyo,Luganda,85.71428571428572,nnyo,Luganda,,0.0,,pending_gpu,
okujako,okujako,,Unknown,okujyako,Luganda,93.33333333333333,okujyako,Luganda,,0.0,,pending_gpu,
kubwa,kubwa,,Unknown,kubbwa,Luganda,90.9090909090909,kubbwa,Luganda,,0.0,,pending_gpu,
bwa,bwa,bwa,Luganda,,,0.0,bwa,Luganda,,0.0,,pending_gpu,
omupiira,omupiira,omupiira,Luganda,,,0.0,omupiira,Luganda,,0.0,,pending_gpu,
bonna,bonna,bonna,Luganda,,,0.0,bonna,Luganda,,0.0,,pending_gpu,
oyo,oyo,oyo,Luganda,,,0.0,oyo,Luganda,,0.0,,pending_gpu,
buli,buli,buli,Luganda,,,0.0,buli,Luganda,,0.0,,pending_gpu,
wamu,wamu,wamu,Luganda,,,0.0,wamu,Luganda,,0.0,,pending_gpu,
bamugoba,bamugoba,,Unknown,amagoba,Luganda,80.0,amagoba,Luganda,,0.0,,pending_gpu,
