original_text,normalized_word_text,dict_word,dict_lang,fuzzy_word,fuzzy_lang,fuzzy_confidence,checked_text,checked_lang,lemmatized_text,polarity_score,polarity_label,status,error_message
wadawa,wadawa,,Unknown,adawa,Swahili,90.9090909090909,adawa,Swahili,,0.0,,pending_gpu,
Bbosa,bbosa,,Unknown,boosa,Swahili,80.0,boosa,Swahili,,0.0,,pending_gpu,
Kigongo,kigongo,,Unknown,gongo,Swahili,83.33333333333334,gongo,Swahili,,0.0,,pending_gpu,
eddubu,eddubu,,Unknown,dubu,Swahili,80.0,dubu,Swahili,,0.0,,pending_gpu,
aliwa,aliwa,,Unknown,kaliwa,Swahili,90.9090909090909,kaliwa,Swahili,,0.0,,pending_gpu,
kumbuliza,kumbuliza,,Unknown,tumbulia,Swahili,82.35294117647058,tumbulia,Swahili,,0.0,,pending_gpu,
nyamba,nyamba,,Unknown,namba,Swahili,90.9090909090909,namba,Swahili,,0.0,,pending_gpu,
Sandra,sandra,,Unknown,sanda,Swahili,90.9090909090909,sanda,Swahili,,0.0,,pending_gpu,
waa,waa,waa,Swahili,,,0.0,waa,Swahili,,0.0,,pending_gpu,
bitufu,bitufu,,Unknown,biuu,Swahili,80.0,biuu,Swahili,,0.0,,pending_gpu,
Sandra,sandra,,Unknown,sanda,Swahili,90.9090909090909,sanda,Swahili,,0.0,,pending_gpu,
talimu,talimu,,Unknown,taslimu,Swahili,92.3076923076923,taslimu,Swahili,,0.0,,pending_gpu,
"mwenyewe,hii","mwenyewe,hii",,Unknown,mwenyewe,Swahili,80.0,mwenyewe,Swahili,,0.0,,pending_gpu,
Kabuye,kabuye,,Unknown,kabe,Swahili,80.0,kabe,Swahili,,0.0,,pending_gpu,
bwensi,bwensi,,Unknown,bweni,Swahili,90.9090909090909,bweni,Swahili,,0.0,,pending_gpu,
FUNTULA,funtula,,Unknown,futua,Swahili,83.33333333333334,futua,Swahili,,0.0,,pending_gpu,
nawe,nawe,nawe,Swahili,,,0.0,nawe,Swahili,,0.0,,pending_gpu,
soro,soro,soro,Swahili,,,0.0,soro,Swahili,,0.0,,pending_gpu,
soro,soro,soro,Swahili,,,0.0,soro,Swahili,,0.0,,pending_gpu,
mpa,mpa,,Unknown,mpua,Swahili,85.71428571428572,mpua,Swahili,,0.0,,pending_gpu,
nakiwala,nakiwala,,Unknown,nakala,Swahili,85.71428571428572,nakala,Swahili,,0.0,,pending_gpu,
yewa,yewa,,Unknown,nyewa,Swahili,88.88888888888889,nyewa,Swahili,,0.0,,pending_gpu,
bano,bano,bano,Swahili,,,0.0,bano,Swahili,,0.0,,pending_gpu,
okwoota,okwoota,,Unknown,okota,Swahili,83.33333333333334,okota,Swahili,,0.0,,pending_gpu,
abaali,abaali,,Unknown,kabali,Swahili,83.33333333333334,kabali,Swahili,,0.0,,pending_gpu,
emasaka,emasaka,,Unknown,mashtaka,Swahili,80.0,mashtaka,Swahili,,0.0,,pending_gpu,
nakiwala,nakiwala,,Unknown,nakala,Swahili,85.71428571428572,nakala,Swahili,,0.0,,pending_gpu,
Nakiwala,nakiwala,,Unknown,nakala,Swahili,85.71428571428572,nakala,Swahili,,0.0,,pending_gpu,
nakiwala,nakiwala,,Unknown,nakala,Swahili,85.71428571428572,nakala,Swahili,,0.0,,pending_gpu,
Nakiwala,nakiwala,,Unknown,nakala,Swahili,85.71428571428572,nakala,Swahili,,0.0,,pending_gpu,
ayogeza,ayogeza,,Unknown,nyongeza,Swahili,80.0,nyongeza,Swahili,,0.0,,pending_gpu,
Nakiwala,nakiwala,,Unknown,nakala,Swahili,85.71428571428572,nakala,Swahili,,0.0,,pending_gpu,
nyenya,nyenya,nyenya,Swahili,,,0.0,nyenya,Swahili,,0.0,,pending_gpu,
